序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,风电分为：,,,上游，中游，下游,,,,,,,,ABCDEFGH,x119-风电
2,中材科技,上游-叶片,江苏-南京,,,,,,,,,ABCDEFGH,x119-风电
3,时代新材,上游-叶片,湖南-主轴,,,,,,,,,ABCDEFGH,x119-风电
4,东方电气,上游-叶片,四川-成都,,,,,,,,,ABCDEFGH,x119-风电
5,明阳智能,上游-叶片,广东-中山,,,,,,,,,ABCDEFGH,x119-风电
6,天顺风能,上游-叶片,江苏-苏州,,,,,,,,,ABCDEFGH,x119-风电
7,康达新材,上游-叶片,上海,,,,,,,,,ABCDEFGH,x119-风电
8,惠柏新材-300,上游-叶片,上海,,,,,,,,,ABCDEFGH,x119-风电
9,上纬新材-688,上游-叶片,上海,,,,,,,,,ABCDEFGH,x119-风电
10,隆华新材-300,上游-叶片,淄博,,,,,,,,,ABCDEFGH,x119-风电
11,金雷股份-300,上游-主轴,济南,,,,,,,,,ABCDEFGH,x119-风电
12,通裕重工-300,上游-主轴,德州,,,,,,,,,ABCDEFGH,x119-风电
13,宏德股份-300,上游-主轴,江苏-南通,,,,,,,,,ABCDEFGH,x119-风电
14,天顺风能,上游-风塔,江苏-苏州,,,,,,,,,ABCDEFGH,x119-风电
15,大金重工,上游-风塔,辽宁-阜新,,,,,,,,,ABCDEFGH,x119-风电
16,天能重工,上游-风塔,青岛,,,,,,,,,ABCDEFGH,x119-风电
17,泰胜风能-300,上游-风塔,上海,,,,,,,,,ABCDEFGH,x119-风电
18,常友科技-300,上游-机舱罩,江苏-常州,,,,,,,,,ABCDEFGH,x119-风电
19,双一科技,上游-机舱罩,山东-德州,,,,,,,,,ABCDEFGH,x119-风电
20,振江股份,上游-机舱罩,江苏-无锡,,,,,,,,,ABCDEFGH,x119-风电
21,日月股份,上游-铸件,浙江-宁波,,,,,,,,,ABCDEFGH,x119-风电
22,通裕重工-300,上游-铸件,山东-德州,,,,,,,,,ABCDEFGH,x119-风电
23,金雷股份-300,上游-铸件,山东-济南,,,,,,,,,ABCDEFGH,x119-风电
24,广大特材-688,上游-铸件,江苏-苏州,,,,,,,,,ABCDEFGH,x119-风电
25,吉鑫科技,上游-铸件,,,,,,,,,,ABCDEFGH,x119-风电
26,海锅股份-300,上游-铸件,江苏-苏州,,,,,,,,,ABCDEFGH,x119-风电
27,中环海路,上游-铸件,,,,,,,,,,ABCDEFGH,x119-风电
28,永达股份,上游-铸件,湖南-湘潭,,,,,,,,,ABCDEFGH,x119-风电
29,恒润股份,上游-法兰,江苏-无锡,,,,,,,,,ABCDEFGH,x119-风电
30,新强联-300,上游-风电轴承,河南-洛阳,,,,,,,,,ABCDEFGH,x119-风电
31,崇德科技-300,上游-风电轴承,湖南-湘潭,,,,,,,,,ABCDEFGH,x119-风电
32,五洲新春,上游-风电轴承,浙江-绍兴,,,,,,,,,ABCDEFGH,x119-风电
33,力星股份-300,上游-风电轴承,江苏-南通,,,,,,,,,ABCDEFGH,x119-风电
34,长盛轴承-300,上游-风电轴承,浙江-嘉兴,,,,,,,,,ABCDEFGH,x119-风电
