序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
68,北化股份,陆军,四川-泸州,北方化学工业股份有限公司,,,,,,,,ABCDEFGH,x99-军工
69,内蒙一机,陆军,内蒙古-包头,,,,,,,,,ABCDEFGH,x99-军工
70,中兵红箭,陆军,湖南-湘潭,,,,,,,,,ABCDEFGH,x99-军工
71,光电股份,陆军,湖北-襄阳,,,,,,,,,ABCDEFGH,x99-军工
72,天秦装备-300,陆军,河北-秦皇岛,,,,,,,,,ABCDEFGH,x99-军工
73,北方长龙-300,陆军,陕西-西安,,,,,,,,,ABCDEFGH,x99-军工
74,光启技术,军工材料-隐身材料,深圳,,,,,,,,,ABCDEFGH,x99-军工
75,佳驰科技-688,军工材料-隐身材料,四川-成都,,,,,,,,,ABCDEFGH,x99-军工
76,华秦科技-688,军工材料-隐身材料,陕西-西安,,,,,,,,,ABCDEFGH,x99-军工
77,悦安新材-688,军工材料-隐身材料,江西-赣州,,,,,,,,,ABCDEFGH,x99-军工
78,航天发展,军工材料-隐身材料,福建-福州,,,,,,,,,ABCDEFGH,x99-军工
79,新劲刚-300,军工材料-隐身材料,广东-佛山,,,,,,,,,ABCDEFGH,x99-军工
80,宝钛股份,军工材料-钛合金,陕西-宝鸡,,,,,,,,,ABCDEFGH,x99-军工
81,西部材料,军工材料-钛合金,陕西-西安,,,,,,,,,ABCDEFGH,x99-军工
82,西部超导-688,军工材料-钛合金,陕西-西安,,,,,,,,,ABCDEFGH,x99-军工
83,金天钛业,军工材料-钛合金,湖南-长沙,湖南金天钛业科技有限公司,,,,,,,,ABCDEFGH,x99-军工
84,贵绳股份,军工材料-钢丝绳,贵州-遵义,,,,,,,,,ABCDEFGH,x99-军工
85,巨力索具,军工材料-钢丝绳,河北-保定,,,,,,,,,ABCDEFGH,x99-军工
86,法尔胜,军工材料-钢丝绳,江苏-无锡,,,,,,,,,ABCDEFGH,x99-军工
87,赛福天,军工材料-钢丝绳,江苏-无锡,,,,,,,,,ABCDEFGH,x99-军工
88,万泽股份,军工材料-高温合金,广东-汕头,,,,,,,,,ABCDEFGH,x99-军工
89,应流股份,军工材料-高温合金,安徽-合肥,,,,,,,,,ABCDEFGH,x99-军工
90,永兴材料,军工材料-高温合金,浙江-湖州,,,,,,,,,ABCDEFGH,x99-军工
91,钢研高纳-300,军工材料-高温合金,北京,,,,,,,,,ABCDEFGH,x99-军工
