序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
66,盛天网络-300,游戏-游戏平台,湖北-武汉,,,,,,,,,ABCDEFGH,x114-传媒
67,完美世界,游戏-游戏研发,浙江-湖州,,,,,,,,,ABCDEFGH,x114-传媒
68,三七互娱,游戏-游戏研发,安徽-芜湖,,,,,,,,,ABCDEFGH,x114-传媒
69,巨人网络,游戏-游戏研发,重庆,,,,,,,,,ABCDEFGH,x114-传媒
70,游族网络,游戏-游戏研发,福建-泉州,,,,,,,,,ABCDEFGH,x114-传媒
71,吉比特,游戏-游戏研发,福建-厦门,,,,,,,,,ABCDEFGH,x114-传媒
72,掌趣科技-300,游戏-游戏研发,北京,,,,,,,,,ABCDEFGH,x114-传媒
73,恺英网络,游戏-游戏研发,福建-泉州,,,,,,,,,ABCDEFGH,x114-传媒
74,宝通科技-300,游戏-游戏研发,江苏-无锡,,,,,,,,,ABCDEFGH,x114-传媒
75,姚记科技,游戏-休闲游戏,上海,,,,,,,,,ABCDEFGH,x114-传媒
76,汤姆猫-300,游戏-其他游戏,浙江-绍兴,,,,,,,,,ABCDEFGH,x114-传媒
77,中文传媒,游戏-其他游戏,江西-上饶,,,,,,,,,ABCDEFGH,x114-传媒
78,天舟文化-300,游戏-其他游戏,湖南-长沙,,,,,,,,,ABCDEFGH,x114-传媒
79,奥飞娱乐,游戏-其他游戏,广东-汕头,,,,,,,,,ABCDEFGH,x114-传媒
80,冰川网络-300,游戏-其他游戏,深圳,,,,,,,,,ABCDEFGH,x114-传媒
81,电广传媒,游戏-其他游戏,湖南-长沙,,,,,,,,,ABCDEFGH,x114-传媒
82,星辉娱乐-300 ,游戏-其他游戏,广东汕头,,,,,,,,,ABCDEFGH,x114-传媒
83,电魂网络,游戏-其他游戏,浙江-杭州,,,,,,,,,ABCDEFGH,x114-传媒
84,神州泰岳-300 ,游戏-游戏出海,北京,,,,,,,,,ABCDEFGH,x114-传媒
85,游族网络,游戏-游戏出海,福建-泉州,,,,,,,,,ABCDEFGH,x114-传媒
86,宝通科技-300,游戏-游戏出海,江苏-无锡,,,,,,,,,ABCDEFGH,x114-传媒
87,掌趣科技-300,游戏-游戏出海,北京,,,,,,,,,ABCDEFGH,x114-传媒
88,富春股份-300,游戏-游戏出海,福建-福州,,,,,,,,,ABCDEFGH,x114-传媒
89,三七互娱,游戏-游戏出海,安徽-芜湖,,,,,,,,,ABCDEFGH,x114-传媒
90,盛天网络-300,游戏-游戏出海,湖北-武汉,,,,,,,,,ABCDEFGH,x114-传媒
91,汤姆猫-300,游戏-游戏出海,浙江-绍兴,,,,,,,,,ABCDEFGH,x114-传媒
92,昆仑万维-300,游戏-游戏出海,北京,,,,,,,,,ABCDEFGH,x114-传媒
93,中国出版,出版商-出版国家队,北京,,,,,,,,,ABCDEFGH,x114-传媒
94,中国科传,出版商-出版国家队,北京,,,,,,,,,ABCDEFGH,x114-传媒
95,中信出版-300,出版商-大众出版商,北京,,,,,,,,,ABCDEFGH,x114-传媒
96,新经典,出版商-大众出版商,天津,,,,,,,,,ABCDEFGH,x114-传媒
97,果麦文化-300,出版商-大众出版商,浙江-杭州,,,,,,,,,ABCDEFGH,x114-传媒
