序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
56,潜能恒信-300,伊以冲突-石油-勘探,北京,,,,,,,,,ABCDEFGH,x93-伊以冲突
57,准油股份,伊以冲突-石油-勘探,新疆-克拉玛依,,,,,,,,,ABCDEFGH,x93-伊以冲突
58,通源石油-300,伊以冲突-石油-钻井,陕西-西安,,,,,,,,,ABCDEFGH,x93-伊以冲突
59,贝肯能源,伊以冲突-石油-钻井,新疆-克拉玛依,,,,,,,,,ABCDEFGH,x93-伊以冲突
60,中曼石油,伊以冲突-石油-钻井,上海,,,,,,,,,ABCDEFGH,x93-伊以冲突
61,仁智股份,伊以冲突-石油-钻井,浙江-温州,,,,,,,,,ABCDEFGH,x93-伊以冲突
62,中油工程,伊以冲突-石油-油田工程,北京,中国石油集团工程股份有限公司（简称“中油工程”,,,,,,,,ABCDEFGH,x93-伊以冲突
63,石化油服,伊以冲突-石油-油田工程,北京,,,,,,,,,ABCDEFGH,x93-伊以冲突
64,海油发展,伊以冲突-石油-油田工程,北京,,,,,,,,,ABCDEFGH,x93-伊以冲突
65,中海油服,伊以冲突-石油-油田工程,北京,,,,,,,,,ABCDEFGH,x93-伊以冲突
66,海油工程,伊以冲突-石油-油田工程,天津,,,,,,,,,ABCDEFGH,x93-伊以冲突
67,杰瑞股份,伊以冲突-石油-油田工程,烟台,,,,,,,,,ABCDEFGH,x93-伊以冲突
68,惠博普,伊以冲突-石油-油田工程,湖南-长沙,,,,,,,,,ABCDEFGH,x93-伊以冲突
69,博迈科,伊以冲突-石油-油田工程,天津,,,,,,,,,ABCDEFGH,x93-伊以冲突
70,中油资本-昆仑银行,伊以冲突-石油-昆仑银行,新疆-克拉玛依,持股昆仑银行比例第1，,昆仑银行是伊朗石油结算的“灰色通道”，曾处理数百亿美元伊朗进口结算,,,,,,,ABCDEFGH,x93-伊以冲突
71,中远海发,伊以冲突-石油-昆仑银行,上海,持股昆仑银行比例第2，,,,,,,,,ABCDEFGH,x93-伊以冲突
72,贝肯能源,伊以冲突-石油-昆仑银行,新疆-克拉玛依,持股昆仑银行比例第3，,,,,,,,,ABCDEFGH,x93-伊以冲突
73,联创光电,伊以冲突-军品-防空,江西-南昌,出口产品：“低慢小” 目标激光硬杀伤,,,,,,,,ABCDEFGH,x93-伊以冲突
74,航天彩虹-彩虹系列,伊以冲突-军品-无人机,浙江-台州,军用无人机第一， 彩虹系,,,,,,,,ABCDEFGH,x93-伊以冲突
75,中无人机-翼龙系列,伊以冲突-军品-无人机,四川-成都,军用无人机第二，翼龙系,,,,,,,,ABCDEFGH,x93-伊以冲突
76,储运分为-海运-铁路-仓储,,,,,,,,,,,ABCDEFGH,x93-伊以冲突
77,中远海能,储运-海运,上海,,,,,,,,,ABCDEFGH,x93-伊以冲突
78,招商轮船,储运-海运,深圳,,,,,,,,,ABCDEFGH,x93-伊以冲突
79,招商南油,储运-海运,南京,,,,,,,,,ABCDEFGH,x93-伊以冲突
80,兴通股份,储运-海运,福建-泉州,,,,,,,,,ABCDEFGH,x93-伊以冲突
81,凤凰航运,储运-海运,上海,,,,,,,,,ABCDEFGH,x93-伊以冲突
82,宁波远洋,储运-海运,浙江宁波,,,,,,,,,ABCDEFGH,x93-伊以冲突
83,天顺股份,储运-铁路,新疆,国际物流，铁路运输 覆盖伊朗德黑兰（伊朗首都-德黑兰）区域,,,,,,,,ABCDEFGH,x93-伊以冲突
84,中国外运,储运-铁路,北京,子公司中欧班列，覆盖伊朗的铁路货运服务,,,,,,,,ABCDEFGH,x93-伊以冲突
85,华贸物流,储运-铁路,上海,义乌到伊朗 安札里港,,,,,,,,ABCDEFGH,x93-伊以冲突
86,飞力达,储运-铁路,江苏-昆山,覆盖中东地区（包含伊朗）,,,,,,,,ABCDEFGH,x93-伊以冲突
87,宏川智慧,储运-仓储,广东-东莞,,,,,,,,,ABCDEFGH,x93-伊以冲突
88,保税科技,储运-仓储,江苏-张家港,化工仓储第2，,京东稳定币,张家港保税科技（集团）股份有限公司,,,,,,ABCDEFGH,x93-伊以冲突
89,恒基达鑫,储运-仓储,广东-珠海,化工仓储第3，,,,,,,,,ABCDEFGH,x93-伊以冲突
